武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+HP%,トーマ+鍾離+万葉,768803.9,1035,570,44230.63,0.3,230,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,768334,947,570,35757.4,0.766,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,768334,947,570,35757.4,0.766,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,767987.8,947,570,36759.61,0.45,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,767987.8,947,570,36759.61,0.45,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,767638.1,1035,570,30078.21,0.916,125,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,767638.1,1035,570,30078.21,0.916,125,1.00:2.44,,0.58:0.44,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,767448.6,1035,570,36152.21,0.766,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,767448.6,1035,570,36152.21,0.766,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,766501.8,1035,570,37154.42,0.916,0,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,沈淪4,HP%+HP%+HP%,アルベド+トーマ+万葉,766493.8,1035,570,44230.63,0.45,125,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+鍾離,765793.4,1035,570,37154.42,0.3,312,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,764714.5,1035,570,30078.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,764445.5,1035,570,30078.21,0.766,285,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,764445.4,1035,570,30078.21,0.766,285,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,763765.5,1165.32,570,30078.21,0.3,187,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,763765.4,1165.32,570,30078.21,0.3,187,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,763535.2,1035,570,30078.21,0.766,417,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+万葉,761908.3,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+白朮+万葉,761908.3,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+万葉,761908.3,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,761550.1,947,570,36759.61,0.916,80,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心率,トーマ+鍾離+万葉,761252.8,947,570,36759.61,0.916,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,761252.8,947,570,36759.61,0.916,80,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,760633.6,1035,570,37154.42,0.3,285,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+会心率,アルベド+トーマ+万葉,760633.5,1035,570,37154.42,0.3,285,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,760086.7,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,760086.7,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,760086.7,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,760086.7,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+元素熟知,トーマ+鍾離+万葉,759727.8,1035,570,37154.42,0.3,417,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,759563.6,1061.48,570,43835.82,0.3,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,759410.4,947,570,43835.82,0.45,205,1.00:2.37,,0.18:1.25,1.6
サーフィンタイム,沈淪4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,759399.1,1035,570,37154.42,0.45,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,758790.4,1035,570,30078.21,0.766,542,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+千岩,HP%+元素熟知+会心率,アルベド+トーマ+万葉,758444.3,1035,570,36152.21,0.3,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,758444.3,1035,570,36152.21,0.3,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,758428.3,1035,570,30078.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,758428.2,1035,570,30078.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+楽団,HP%+HP%+会心率,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+楽団,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+会心率,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,HP%+HP%+会心率,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+会心率,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,758409.9,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+HP%,トーマ+鍾離+万葉,758251.1,1136.36,570,37154.42,0.766,180,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,758226.8,1061.48,570,50912.03,0.3,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+黒曜の秘典,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),千岩+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),千岩+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,758119.3,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+HP%,アルベド+トーマ+万葉,757871.4,1136.36,570,44230.63,0.3,305,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,757273.9,1035,570,29076,0.766,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,757273.9,1035,570,29076,0.766,312,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+HP%,アルベド+トーマ+万葉,757144.6,1036.04,570,43835.82,0.766,385,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,756525.9,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,756525.9,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,756525.9,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,756525.9,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,756191.1,947,570,36759.61,0.916,205,1.00:2.10,,0.00:1.60,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,755672.4,947,570,36759.61,0.45,392,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+万葉,755667.6,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+白朮+万葉,755667.6,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+万葉,755667.6,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,755591.7,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,755591.7,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,755591.7,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,755591.7,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,755591.6,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+会心率,アルベド+トーマ+万葉,755591.6,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,755591.6,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+会心率,アルベド+トーマ+万葉,755591.6,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,755273.8,947,570,38976.62,0.916,165,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+元素熟知,アルベド+トーマ+万葉,755006.7,1035,570,37154.42,0.3,542,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+万葉,754986.7,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+白朮+万葉,754986.7,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+万葉,754986.7,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,754817.6,947,570,43835.82,0.45,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,754162.1,1035,570,43228.42,0.766,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心率,トーマ+鍾離+万葉,753869.4,947,570,36759.61,0.766,240,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,753869.4,947,570,36759.61,0.766,240,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,753340.3,947,570,35757.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,753340.3,947,570,35757.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,753179.2,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,753179.2,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,753179.2,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,753179.2,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,752497.2,1035,570,23002,0.916,499,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,752432.1,1035,570,23002,0.916,374,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+鍾離,751451.3,1061.48,570,36759.61,0.616,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+鍾離,751451.3,1061.48,570,36759.61,0.616,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,750408.7,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,750408.7,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,750408.7,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,750408.7,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,749901.7,1165.32,570,30078.21,0.3,499,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,749836.8,1165.32,570,30078.21,0.3,374,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,749100.3,1061.48,570,43835.82,0.766,80,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,748727.4,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素熟知+会心率,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,千岩+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,千岩+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素熟知+会心率,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,748725.1,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素熟知+会心率,トーマ+鍾離+万葉,748373.9,1035,570,30078.21,0.3,417,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,748373.9,1035,570,30078.21,0.3,417,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,748356.4,947,570,36759.61,0.766,497,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心率,トーマ+鍾離+万葉,748181.6,1061.48,570,43835.82,0.3,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,748181.6,1061.48,570,43835.82,0.3,80,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,748054.4,1165.32,570,30078.21,0.766,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,748050.1,1035,570,30078.21,0.45,187,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,748050,1035,570,30078.21,0.45,187,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),金メッキ4(同元素0),元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,747791.6,947,570,29683.4,0.766,497,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,747791.6,947,570,29683.4,0.766,497,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,エミリエ+トーマ+万葉,747523.1,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+白朮+万葉,747523.1,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+万葉,747523.1,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,746987.9,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,746987.9,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,746987.9,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,746987.9,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,746987.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,746987.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,746987.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,746987.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+会心率,トーマ+鍾離+万葉,746919.3,1136.36,570,30078.21,0.766,180,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,746919.3,1136.36,570,30078.21,0.766,180,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,746808.3,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+HP%+元素熟知,アルベド+トーマ+万葉,746808.3,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,千岩+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,746808.3,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+HP%+元素熟知,アルベド+トーマ+万葉,746808.3,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,攻撃%+元素バフ+HP%,アルベド+トーマ+万葉,746433.8,1243.376,570,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,防御%+元素バフ+HP%,アルベド+トーマ+万葉,746433.8,947,902.31,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+治癒効果,アルベド+トーマ+万葉,746433.8,947,570,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元チャ+元素バフ+HP%,アルベド+トーマ+万葉,746433.8,947,570,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+会心率,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.38:0.85,1.6
