武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1071011,520989.1,947,570,35757.4,0.766,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1071011,520989.1,947,570,35757.4,0.766,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1070041,520517.2,1035,570,30078.21,0.916,125,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1070041,520517.2,1035,570,30078.21,0.916,125,1.00:2.44,,0.58:0.44,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1069777,520388.7,1035,570,36152.21,0.766,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1069777,520388.7,1035,570,36152.21,0.766,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,沈淪4,HP%+HP%+HP%,アルベド+トーマ+万葉,1068446,519741.2,1035,570,44230.63,0.45,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心率,トーマ+鍾離+万葉,1068309,519674.6,1036.04,570,36759.61,0.766,260,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1068309,519674.6,1036.04,570,36759.61,0.766,260,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+HP%,トーマ+鍾離+万葉,1067783,519418.9,1035,570,44230.63,0.3,230,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,1066650,518867.5,947,570,36759.61,0.45,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,1066650,518867.5,947,570,36759.61,0.45,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1065966,518534.8,1035,570,30078.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1065591,518352.3,1035,570,30078.21,0.766,285,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1065591,518352.4,1035,570,30078.21,0.766,285,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,1064586,517863.6,1035,570,37154.42,0.916,0,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+万葉,1062054,516631.9,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+白朮+万葉,1062054,516631.9,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+万葉,1062054,516631.9,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,1060785,516014.8,1165.32,570,30078.21,0.3,187,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,1060785,516014.8,1165.32,570,30078.21,0.3,187,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1060466,515859.3,1035,570,30078.21,0.766,417,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+会心率,アルベド+トーマ+万葉,1060277,515767.6,1035,570,37154.42,0.3,285,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1060277,515767.6,1035,570,37154.42,0.3,285,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1059515,515396.8,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1059515,515396.8,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1059515,515396.8,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1059515,515396.8,1035,570,37154.42,0.916,205,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1058572,514938.2,947,570,43835.82,0.45,205,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1057708,514518.1,947,570,36759.61,0.916,80,1.00:2.37,,0.18:1.25,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1057708,514517.8,1035,570,30078.21,0.766,542,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心率,トーマ+鍾離+万葉,1057296,514317.2,947,570,36759.61,0.916,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1057296,514317.2,947,570,36759.61,0.916,80,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,花海+千岩,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1057225,514283.1,1035,570,36152.21,0.3,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1057225,514283.1,1035,570,36152.21,0.3,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1057203,514272.2,1035,570,30078.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1057203,514272.2,1035,570,30078.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1057178,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1057178,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1057178,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1057178,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,HP%+HP%+会心率,アルベド+トーマ+万葉,1057177,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+会心率,アルベド+トーマ+万葉,1057177,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,HP%+HP%+会心率,アルベド+トーマ+万葉,1057177,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+会心率,アルベド+トーマ+万葉,1057177,514259.8,1035,570,40191.42,0.3,205,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,1056922,514135.6,1061.48,570,50912.03,0.3,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+黒曜の秘典,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),千岩+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),千岩+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1056772,514062.7,947,570,32720.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+HP%,アルベド+トーマ+万葉,1056427,513894.6,1136.36,570,44230.63,0.3,305,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1055594,513489.5,1035,570,29076,0.766,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1055594,513489.5,1035,570,29076,0.766,312,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+HP%,アルベド+トーマ+万葉,1055414,513401.8,1036.04,570,43835.82,0.766,385,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+元素熟知,トーマ+鍾離+万葉,1055178,513286.9,1035,570,37154.42,0.3,417,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,1054950,513176,1061.48,570,43835.82,0.3,267,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,沈淪4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,1054721,513064.8,1035,570,37154.42,0.45,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1054551,512982.3,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1054551,512982.3,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1054551,512982.3,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1054551,512982.3,1035,570,33115.21,0.766,392,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1054085,512755.3,947,570,36759.61,0.916,205,1.00:2.10,,0.00:1.60,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1053361,512403.5,947,570,36759.61,0.45,392,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+万葉,1053355,512400.3,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+白朮+万葉,1053355,512400.3,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+万葉,1053355,512400.3,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+会心率,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+会心率,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1053249,512348.8,1035,570,37154.42,0.45,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+HP%,トーマ+鍾離+万葉,1053127,512289.3,1136.36,570,37154.42,0.766,180,0.87:1.73,,0.62:0.35,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1052806,512133.3,947,570,38976.62,0.916,165,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+元素熟知,アルベド+トーマ+万葉,1052434,511952.1,1035,570,37154.42,0.3,542,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+万葉,1052406,511938.6,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+白朮+万葉,1052406,511938.6,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+万葉,1052406,511938.6,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1052170,511823.9,947,570,43835.82,0.45,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1051256,511379.4,1035,570,43228.42,0.766,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+鍾離,1050631,511075.1,947,570,43835.82,0.766,205,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1049886,510713,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1049886,510713,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1049886,510713,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1049886,510713,1035,570,33115.21,0.916,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,1048935,510250.5,1035,570,23002,0.916,499,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心率,トーマ+鍾離+万葉,1047041,509328.8,947,570,36759.61,0.766,240,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1047041,509328.8,947,570,36759.61,0.766,240,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,1046306,508971.4,947,570,35757.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1046306,508971.4,947,570,35757.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1046024,508834.4,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1046024,508834.4,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1046024,508834.4,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1046024,508834.4,947,570,43835.82,0.916,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+鍾離,1045459,508559.4,947,570,36759.61,0.766,392,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,1045318,508490.6,1165.32,570,30078.21,0.3,499,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,1045045,508357.8,1035,570,23002,0.916,374,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1043681,507694.3,1035,570,30078.21,0.916,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1043677,507692.7,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1043677,507692.8,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1043677,507692.7,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1043677,507692.8,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,千岩+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1043677,507692.7,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,千岩+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1043677,507692.8,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1043677,507692.7,1035,570,33115.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1043677,507692.8,1035,570,33115.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,エミリエ+トーマ+万葉,1042002,506877.7,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+白朮+万葉,1042002,506877.7,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+万葉,1042002,506877.7,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,1041440,506604.4,1165.32,570,30078.21,0.3,374,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1041256,506514.7,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1041256,506514.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1041256,506514.7,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1041256,506514.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1041256,506514.7,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1041256,506514.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1041256,506514.7,1035,570,33115.21,0.916,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1041256,506514.8,1035,570,33115.21,0.916,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1041006,506393,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1041006,506393,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,千岩+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1041006,506393,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1041006,506393,1035,570,40191.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,攻撃%+元素バフ+HP%,アルベド+トーマ+万葉,1040483,506139.1,1243.376,570,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,防御%+元素バフ+HP%,アルベド+トーマ+万葉,1040483,506139.1,947,902.31,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+治癒効果,アルベド+トーマ+万葉,1040483,506139.1,947,570,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元チャ+元素バフ+HP%,アルベド+トーマ+万葉,1040483,506139.1,947,570,36759.61,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,1040417,506106.8,1061.48,570,43835.82,0.766,80,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素熟知+会心率,トーマ+鍾離+万葉,1039408,505616,1035,570,30078.21,0.3,417,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,1039408,505616,1035,570,30078.21,0.3,417,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1039384,505604.2,947,570,36759.61,0.766,497,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心率,トーマ+鍾離+万葉,1039141,505486.1,1061.48,570,43835.82,0.3,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,1039141,505486.1,1061.48,570,43835.82,0.3,80,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1039120,505475.9,947,570,43835.82,0.766,365,0.83:1.66,,0.22:1.16,1.6
