武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
久遠流転の大典,しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,896192.4,435949.3,1165.32,570,36547.02,0.766,125,0.87:1.73,,0.62:0.35,1.6
万国諸海(完凸),黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,895957.2,435834.8,1058,570,27041.21,1.236,235,1.00:2.00,,0.05:1.50,1.6
万国諸海(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,895957.2,435834.8,1058,570,27041.21,1.236,235,1.00:2.00,,0.36:0.88,1.6
凛流の監視者,しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,895900.9,435807.5,1458.04,570,34117.42,0.3,125,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,895900.9,435807.5,1458.04,570,34117.42,0.3,125,0.91:1.82,,0.45:0.70,1.6
トゥライトゥーラの記憶,しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,895594.3,435658.3,1321.08,570,34117.42,0.3,125,0.91:1.82,,0.67:0.26,1.6
トゥライトゥーラの記憶,しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,895594.1,435658.3,1321.08,570,34117.42,0.3,125,0.91:1.82,,0.36:0.88,1.6
古祠の瓏,楽団+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894561,435155.7,947,570,38976.62,0.916,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,楽団+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894561,435155.7,947,570,38976.62,0.916,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894561,435155.7,947,570,38976.62,0.916,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894561,435155.7,947,570,38976.62,0.916,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,沈淪4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,894517.3,435134.4,947,570,31900.41,0.916,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,花海+楽団,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894254.4,435006.5,947,570,42013.62,0.766,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,花海+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894254.4,435006.5,947,570,42013.62,0.766,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,楽団+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894254.4,435006.5,947,570,42013.62,0.766,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,894254.4,435006.5,947,570,42013.62,0.766,245,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,楽団+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,893951.4,434859.1,947,570,38976.62,0.766,325,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,892540.6,434172.9,1303.96,570,34117.42,0.45,125,1.00:2.10,,0.00:1.60,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+鍾離,891466.3,433650.3,947,570,38976.62,0.766,165,1.00:2.06,,0.02:1.56,1.6
四風原典(10s換算),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,891293.4,433566.2,1101,570,34117.42,0.98,125,1.00:2.02,,0.04:1.52,1.6
流浪完凸(期待値),しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,890982.3,433414.8,1265.96,570,34117.42,0.46,205,0.94:1.88,,0.39:0.83,1.6
流浪完凸(期待値),しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,890982.3,433414.8,1265.96,570,34117.42,0.46,205,0.94:1.88,,0.70:0.21,1.6
古祠の瓏,花海+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,890829.1,433340.3,947,570,37974.41,0.766,352,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,890743.1,433298.5,1303.96,570,27041.21,0.766,355,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,890743.1,433298.5,1303.96,570,27041.21,0.766,355,0.91:1.82,,0.45:0.70,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,890438.1,433150.1,1167,570,27041.21,0.766,355,0.91:1.82,,0.36:0.88,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,890438.1,433150.1,1167,570,27041.21,0.766,355,0.91:1.82,,0.67:0.26,1.6
古祠の瓏,黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,890218.9,433043.5,947,570,24824.2,0.916,352,1.00:2.37,,0.18:1.25,1.6
古祠の瓏,沈淪4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,889871.3,432874.4,947,570,24824.2,0.916,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,沈淪4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,889871.3,432874.4,947,570,24824.2,0.916,352,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ4(同元素1),HP%+元素バフ+会心率,トーマ+鍾離+万葉,889721.7,432801.6,1036.04,570,31900.41,0.766,220,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,889721.7,432801.6,1036.04,570,31900.41,0.766,220,0.99:1.97,,0.38:0.85,1.6
万国諸海(完凸),黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,889260,432577,1058,570,41193.63,0.77,235,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,889071,432485.1,1003,570,33312.61,0.45,499,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,沈淪4,HP%+HP%+HP%,アルベド+トーマ+万葉,888950.7,432426.6,947,570,46052.83,0.45,165,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,沈淪4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,888908.4,432406,947,570,31900.41,0.45,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,沈淪4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,888908.4,432406,947,570,31900.41,0.45,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,888716.3,432312.5,947,570,31900.41,1.066,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,黒曜の秘典+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,888716.3,432312.5,947,570,31900.41,1.066,165,0.99:1.97,,0.38:0.85,1.6
久遠流転の大典,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,887447.9,431695.6,1165.32,570,36547.02,0.3,312,0.87:1.73,,0.62:0.35,1.6
久遠流転の大典,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,887207.1,431578.4,1035,570,43623.23,0.45,125,1.00:2.13,,0.42:0.75,1.6
久遠流転の大典,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,887199,431574.5,1035,570,29470.81,0.766,355,1.00:2.04,,0.78:0.04,1.6
久遠流転の大典,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,887198.9,431574.4,1035,570,29470.81,0.766,355,1.00:2.04,,0.47:0.66,1.6
久遠流転の大典,しめ縄4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,886635.9,431300.6,1165.32,570,29470.81,0.766,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏,黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,885946.6,430965.2,947,570,31900.41,0.45,352,1.00:2.37,,0.18:1.25,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,885773.1,430880.8,1003,570,33312.61,0.45,374,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,金メッキ4(同元素0),HP%+HP%+会心率,アルベド+トーマ+万葉,885489.5,430742.9,947,570,38976.62,0.3,395,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素0),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,885489.5,430742.9,947,570,38976.62,0.3,395,0.99:1.97,,0.38:0.85,1.6
凛流の監視者,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,885026.6,430517.7,1458.04,570,34117.42,0.3,312,0.76:1.51,,0.29:1.01,1.6
トゥライトゥーラの記憶,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,884714.6,430365.9,1321.08,570,34117.42,0.3,312,0.76:1.51,,0.51:0.57,1.6
古祠の瓏,花海+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,883748.9,429896.2,947,570,34937.41,0.916,352,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,花海+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,883748.9,429896.2,947,570,34937.41,0.916,352,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,千岩+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,883748.9,429896.2,947,570,34937.41,0.916,352,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,黒曜の秘典+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,883748.9,429896.2,947,570,34937.41,0.916,352,0.83:1.66,,0.22:1.16,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,883566.1,429807.2,1141.4,570,27041.21,1.076,205,1.00:2.28,,0.19:1.23,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,883566.1,429807.2,1141.4,570,27041.21,1.076,205,1.00:2.28,,0.50:0.61,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,882956.7,429510.8,1303.96,570,34117.42,0.916,0,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,882658.3,429365.6,1167,570,34117.42,0.916,0,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,花海+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,881836.8,428966,947,570,42013.62,0.916,165,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,花海+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,881836.8,428966,947,570,42013.62,0.916,165,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,千岩+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,881836.8,428966,947,570,42013.62,0.916,165,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,黒曜の秘典+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,881836.8,428966,947,570,42013.62,0.916,165,0.83:1.66,,0.22:1.16,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,881407.1,428757,1141.4,570,34117.42,0.61,205,1.00:2.28,,0.19:1.23,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,881407.1,428757,1141.4,570,34117.42,0.61,205,1.00:2.28,,0.50:0.61,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+万葉,880856.7,428489.3,1303.96,570,34117.42,0.45,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+白朮+万葉,880856.7,428489.3,1303.96,570,34117.42,0.45,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+万葉,880856.7,428489.3,1303.96,570,34117.42,0.45,187,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+万葉,880558.9,428344.4,1167,570,34117.42,0.45,187,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+白朮+万葉,880558.9,428344.4,1167,570,34117.42,0.45,187,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+万葉,880558.9,428344.4,1167,570,34117.42,0.45,187,0.96:1.91,,0.31:0.97,1.6
久遠流転の大典,しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,880152.8,428146.8,1165.32,570,36547.02,0.3,125,1.00:2.04,,0.78:0.04,1.6
久遠流転の大典,しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,880152.7,428146.8,1165.32,570,36547.02,0.3,125,1.00:2.04,,0.47:0.66,1.6
凛流の監視者,金メッキ4(同元素0),HP%+HP%+HP%,アルベド+トーマ+万葉,880074.3,428108.7,1303.96,570,41193.63,0.3,355,0.76:1.51,,0.29:1.01,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+HP%+HP%,アルベド+トーマ+万葉,879763.9,427957.7,1167,570,41193.63,0.3,355,0.76:1.51,,0.51:0.57,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,879588,427872.1,1061.48,570,24824.2,0.766,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,879588,427872.1,1061.48,570,24824.2,0.766,227,0.99:1.97,,0.38:0.85,1.6
久遠流転の大典,しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,879347.4,427755.1,1165.32,570,29470.81,0.766,125,1.00:2.04,,0.78:0.04,1.6
久遠流転の大典,しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,879347.3,427755.1,1165.32,570,29470.81,0.766,125,1.00:2.04,,0.47:0.66,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+鍾離,879300.1,427732.1,947,570,31900.41,0.766,352,1.00:2.06,,0.02:1.56,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+HP%,トーマ+鍾離+万葉,879295.7,427729.9,1141.4,570,41193.63,0.61,80,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,878936.3,427555.1,947,570,31900.41,0.766,457,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ4(同元素1),HP%+元素バフ+HP%,トーマ+鍾離+万葉,878481.7,427333.9,1036.04,570,38976.62,0.766,220,0.83:1.66,,0.22:1.16,1.6
ヤチュシェの環(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,878452.7,427319.8,1003,570,33312.61,0.766,355,0.80:1.60,,0.56:0.48,1.6
ヤチュシェの環(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,878452.6,427319.8,1003,570,33312.61,0.766,355,0.80:1.60,,0.25:1.10,1.6
祭礼,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,878152.1,427173.6,947,570,34117.42,0.916,346,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,沈淪4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,877678.7,426943.3,947,570,38976.62,0.45,227,0.83:1.66,,0.22:1.16,1.6
久遠流転の大典,沈淪4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,877645.4,426927.2,1035,570,36547.02,0.916,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏,黒曜の秘典+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,877489.1,426851.1,947,570,38976.62,1.066,165,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,877466.7,426840.2,1303.96,570,34117.42,0.45,125,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,877466.7,426840.2,1303.96,570,34117.42,0.45,125,0.91:1.82,,0.45:0.70,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心率,トーマ+鍾離+万葉,877465,426839.4,1061.48,570,31900.41,0.766,40,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,877465,426839.4,1061.48,570,31900.41,0.766,40,0.99:1.97,,0.38:0.85,1.6
トゥライトゥーラの記憶,沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,877166.4,426694.1,1167,570,34117.42,0.45,125,0.91:1.82,,0.67:0.26,1.6
トゥライトゥーラの記憶,沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,877166.3,426694.1,1167,570,34117.42,0.45,125,0.91:1.82,,0.36:0.88,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+万葉,877153.5,426687.9,947,570,38976.62,0.916,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+白朮+万葉,877153.5,426687.9,947,570,38976.62,0.916,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+万葉,877153.5,426687.9,947,570,38976.62,0.916,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,花海+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,876928.3,426578.3,947,570,45050.62,0.766,165,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,金メッキ4(同元素0),HP%+HP%+会心率,トーマ+鍾離+万葉,876922.7,426575.6,1303.96,570,34117.42,0.3,230,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素0),HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,876922.7,426575.6,1303.96,570,34117.42,0.3,230,0.91:1.82,,0.45:0.70,1.6
流浪完凸(期待値),しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,876905.3,426567.1,1265.96,570,34117.42,0.926,205,0.78:1.57,,0.54:0.52,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+HP%+会心率,トーマ+鍾離+万葉,876622.4,426429.5,1167,570,34117.42,0.3,230,0.91:1.82,,0.36:0.88,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,876622.4,426429.5,1167,570,34117.42,0.3,230,0.91:1.82,,0.67:0.26,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,876563.2,426400.7,1303.96,570,34117.42,0.766,230,0.76:1.51,,0.29:1.01,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,876254.1,426250.3,1167,570,34117.42,0.766,230,0.76:1.51,,0.51:0.57,1.6
久遠流転の大典,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,875891.1,426073.8,1035,570,36547.02,0.766,230,0.87:1.73,,0.62:0.35,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+万葉,875055.9,425667.5,947,570,38976.62,0.45,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+白朮+万葉,875055.9,425667.5,947,570,38976.62,0.45,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+万葉,875055.9,425667.5,947,570,38976.62,0.45,227,1.00:2.06,,0.02:1.56,1.6
久遠流転の大典,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,873487.9,424904.8,1035,570,36547.02,0.45,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,872932.4,424634.6,947,570,31900.41,0.916,165,1.00:2.10,,0.00:1.60,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+HP%,トーマ+鍾離+万葉,872428,424389.2,947,570,46052.83,0.45,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,花海+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,花海+黒曜の秘典,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,千岩+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,千岩+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,黒曜の秘典+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,872102.1,424230.6,947,570,27861.2,0.916,352,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,872056.1,424208.2,947,570,31900.41,0.766,582,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,871192,423787.9,1458.04,570,27041.21,0.3,312,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,871192,423787.9,1458.04,570,27041.21,0.3,312,0.91:1.82,,0.45:0.70,1.6
凛流の監視者,しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,870976.2,423682.9,1458.04,570,41193.63,0.3,125,0.76:1.51,,0.29:1.01,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+HP%,トーマ+鍾離+万葉,870960.1,423675.1,1303.96,570,41193.63,0.45,0,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,870893.8,423642.8,1321.08,570,27041.21,0.3,312,0.91:1.82,,0.67:0.26,1.6
トゥライトゥーラの記憶,しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,870893.7,423642.8,1321.08,570,27041.21,0.3,312,0.91:1.82,,0.36:0.88,1.6
久遠流転の大典,しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,870767.3,423581.3,1165.32,570,29470.81,0.3,312,1.00:2.04,,0.78:0.04,1.6
久遠流転の大典,しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,870767.2,423581.3,1165.32,570,29470.81,0.3,312,1.00:2.04,,0.47:0.66,1.6
トゥライトゥーラの記憶,しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,870669.1,423533.5,1321.08,570,41193.63,0.3,125,0.76:1.51,,0.51:0.57,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+HP%,トーマ+鍾離+万葉,870665.6,423531.9,1167,570,41193.63,0.45,0,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,花海+楽団,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,870571.8,423486.2,947,570,34937.41,0.766,432,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,花海+金メッキ,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,870571.8,423486.2,947,570,34937.41,0.766,432,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,楽団+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,870571.8,423486.2,947,570,34937.41,0.766,432,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,870571.8,423486.2,947,570,34937.41,0.766,432,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,楽団+金メッキ,HP%+元素バフ+会心率,トーマ+鍾離+万葉,870336.5,423371.8,947,570,31900.41,0.766,200,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,楽団+金メッキ,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,870336.5,423371.8,947,570,31900.41,0.766,200,0.99:1.97,,0.38:0.85,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,870164.4,423288,1003,570,26236.4,0.916,499,0.85:1.69,,0.20:1.19,1.6
流浪完凸(期待値),沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,869869,423144.4,1141.4,570,34117.42,0.61,205,0.94:1.88,,0.39:0.83,1.6
流浪完凸(期待値),沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,869869,423144.4,1141.4,570,34117.42,0.61,205,0.94:1.88,,0.70:0.21,1.6
久遠流転の大典,沈淪4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,868286.7,422374.7,1035,570,29470.81,0.916,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏,花海+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,868232.1,422348.1,947,570,30898.2,0.766,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,868232.1,422348.1,947,570,30898.2,0.766,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,868157.6,422311.9,1061.48,570,31900.41,0.3,414,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,867924.4,422198.4,1303.96,570,27041.21,0.45,312,1.00:2.10,,0.00:1.60,1.6
凛流の監視者,金メッキ4(同元素1),HP%+HP%+会心率,アルベド+トーマ+万葉,867596.1,422038.7,1423.8,570,34117.42,0.3,305,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素1),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,867596.1,422038.7,1423.8,570,34117.42,0.3,305,0.91:1.82,,0.45:0.70,1.6
