武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,熟知,率ダメ
葦海の標,金メッキ4(同元素3),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105958.7,2549.6,22707.83,1.406,180,0.92:1.84
葦海の標,金メッキ4(同元素3),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105958.7,2549.6,22707.83,1.406,180,0.92:1.84
雨裁,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105875,2804.36,16199,1.11,532,0.76:1.51
雨裁,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105875,2804.36,16199,1.11,532,0.76:1.51
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105843.1,3105.64,16199,1.216,267,0.82:1.64
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105769.3,3105.64,16199,0.75,267,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105769.3,3105.64,16199,0.75,267,0.98:1.95
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105757,2751.16,16199,1.441,0,0.98:1.95
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105757,2751.16,16199,1.441,0,0.98:1.95
裁断,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105706,3195.84,16199,0.975,187,0.87:1.73
裁断,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105706,3195.84,16199,0.975,187,0.87:1.73
赤角石塵滅砕,火魔女+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105658.3,2751.16,16199,0.9,267,0.98:1.95
赤角石塵滅砕,火魔女+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105658.3,2751.16,16199,0.9,267,0.98:1.95
赤角石塵滅砕,火魔女+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105658.3,2751.16,16199,0.9,267,0.98:1.95
赤角石塵滅砕,火魔女+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105658.3,2751.16,16199,0.9,267,0.98:1.95
赤角石塵滅砕,火魔女+楽園,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105658.3,2751.16,16199,0.9,267,0.98:1.95
赤角石塵滅砕,火魔女+楽園,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105658.3,2751.16,16199,0.9,267,0.98:1.95
葦海の標,火魔女+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105650.8,3239.9,19853.08,1.366,80,0.92:1.84
葦海の標,火魔女+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105650.8,3239.9,19853.08,1.366,80,0.92:1.84
葦海の標,火魔女+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105650.8,3239.9,19853.08,1.366,80,0.92:1.84
葦海の標,火魔女+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105650.8,3239.9,19853.08,1.366,80,0.92:1.84
葦海の標,火魔女+楽園,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105650.8,3239.9,19853.08,1.366,80,0.92:1.84
葦海の標,火魔女+楽園,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105650.8,3239.9,19853.08,1.366,80,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105442.4,2294.8,22707.83,0.94,467,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105442.4,2294.8,22707.83,0.94,467,0.92:1.84
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105438.6,2751.16,16199,1.216,347,0.82:1.64
赤角石塵滅砕,楽園+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105438.6,2751.16,16199,1.216,347,0.82:1.64
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105438.6,2751.16,16199,1.216,347,0.82:1.64
葦海の標,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105428.6,2167.4,22707.83,0.94,517,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105428.6,2167.4,22707.83,0.94,517,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+鍾離,105424.8,1985.4,19853.08,1.216,230,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+鍾離,105424.8,1985.4,19853.08,1.216,230,0.92:1.84
赤角石塵滅砕,楽団+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105365,2751.16,16199,0.75,347,0.98:1.95
赤角石塵滅砕,楽団+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105365,2751.16,16199,0.75,347,0.98:1.95
赤角石塵滅砕,楽園+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105365,2751.16,16199,0.75,347,0.98:1.95
赤角石塵滅砕,楽園+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105365,2751.16,16199,0.75,347,0.98:1.95
赤角石塵滅砕,楽園+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105365,2751.16,16199,0.75,347,0.98:1.95
赤角石塵滅砕,楽園+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105365,2751.16,16199,0.75,347,0.98:1.95
葦海の標,金メッキ4(同元素0),元チャ+攻撃%+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105359.2,3663.96,19853.08,0.75,230,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+攻撃%+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105359.2,3663.96,19853.08,0.75,230,0.92:1.84
雨裁,ファントム4,元チャ+攻撃%+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105343.4,3069.072,16199,1.11,165,0.94:1.87
雨裁,ファントム4,元チャ+攻撃%+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105343.4,3069.072,16199,1.11,165,0.94:1.87
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105340.1,1813.32,19053.75,1.406,280,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105340.1,1813.32,19053.75,1.406,280,0.98:1.95
葦海の標,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105333.7,2167.4,22707.83,1.406,260,0.92:1.84
葦海の標,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105333.7,2167.4,22707.83,1.406,260,0.92:1.84
葦海の標,楽園+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105333.7,2167.4,22707.83,1.406,260,0.92:1.84
葦海の標,楽園+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105333.7,2167.4,22707.83,1.406,260,0.92:1.84
葦海の標,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105333.7,2167.4,22707.83,1.406,260,0.92:1.84
葦海の標,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105333.7,2167.4,22707.83,1.406,260,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心率,ベネット(西風、旧貴族)+閑雲+夜蘭(終焉、9秒平均),105324.3,3421.9,19853.08,0.656,330,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,ベネット(西風、旧貴族)+閑雲+夜蘭(終焉、9秒平均),105324.3,3421.9,19853.08,0.656,330,0.92:1.84
裁断,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105220.9,3195.84,16199,0.75,374,0.89:1.78
雨裁,金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105207.1,2918.04,16199,1.11,482,0.76:1.51
雨裁,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105207.1,2918.04,16199,1.11,482,0.76:1.51
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+攻撃%,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105146.1,3663.96,19853.08,1.216,230,0.77:1.53
黒岩完凸(平均),火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105074.9,2983,16199,0.975,187,0.89:1.79
黒岩完凸(平均),火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105074.9,2983,16199,0.975,187,0.89:1.79
螭龍の剣(完凸),ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+閑雲+鍾離,105058.5,1480.28,16199,1.25,374,0.92:1.84
赤角石塵滅砕,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105054.7,1695.16,19053.75,0.94,287,1.00:2.62
赤角石塵滅砕,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105054.7,1695.16,19053.75,0.94,287,1.00:2.62
葦海の標,金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105053.5,2422.2,22707.83,0.94,417,0.92:1.84
葦海の標,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105053.5,2422.2,22707.83,0.94,417,0.92:1.84
裁断,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105046.9,3195.84,16199,0.75,417,0.87:1.73
裁断,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,105046.9,3195.84,16199,0.75,417,0.87:1.73
赤角石塵滅砕,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104944.4,2751.16,16199,1.216,0,1.00:2.62
赤角石塵滅砕,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104944.4,2751.16,16199,1.216,0,1.00:2.62
螭龍の剣(完凸),金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+鍾離,104909.7,1480.28,16199,1.25,417,0.89:1.79
螭龍の剣(完凸),金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+鍾離,104909.7,1480.28,16199,1.25,417,0.89:1.79
葦海の標,ファントム4,元チャ+元素バフ+元素熟知,ベネット(西風、旧貴族)+閑雲+夜蘭(終焉、9秒平均),104818.2,3421.9,19853.08,0.656,287,0.95:1.89
雨裁,火魔女+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104765.2,2690.68,16199,1.726,245,0.76:1.51
雨裁,火魔女+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104765.2,2690.68,16199,1.726,245,0.76:1.51
雨裁,火魔女+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104765.2,2690.68,16199,1.726,245,0.76:1.51
雨裁,火魔女+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104765.2,2690.68,16199,1.726,245,0.76:1.51
雨裁,火魔女+楽園,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104765.2,2690.68,16199,1.726,245,0.76:1.51
雨裁,火魔女+楽園,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104765.2,2690.68,16199,1.726,245,0.76:1.51
螭龍の剣(完凸),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+鍾離,104671.1,1480.28,16199,1.716,187,0.92:1.84
裁断,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104624.9,3195.84,16199,1.216,417,0.71:1.42
黒岩完凸(平均),ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104568.1,2983,16199,0.75,374,0.92:1.84
螭龍の剣(完凸),金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+鍾離,104541.3,1593.96,16199,1.25,367,0.89:1.79
螭龍の剣(完凸),金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+鍾離,104541.3,1593.96,16199,1.25,367,0.89:1.79
雨裁,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),104532.3,1642.68,19053.75,1.3,452,0.94:1.87
雨裁,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),104532.3,1642.68,19053.75,1.3,452,0.94:1.87
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104419.7,2983,16199,0.75,417,0.89:1.79
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104419.7,2983,16199,0.75,417,0.89:1.79
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104312.2,3105.64,16199,1.216,80,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104312.2,3105.64,16199,1.216,80,0.98:1.95
赤角石塵滅砕,火魔女+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104275.3,2751.16,16199,1.366,267,0.82:1.64
赤角石塵滅砕,火魔女+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104275.3,2751.16,16199,1.366,267,0.82:1.64
赤角石塵滅砕,火魔女+楽園,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104275.3,2751.16,16199,1.366,267,0.82:1.64
雨裁,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104269.6,2690.68,16199,1.801,352,0.60:1.20
葦海の標,金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),104227.8,2549.6,22707.83,0.94,367,0.92:1.84
葦海の標,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),104227.8,2549.6,22707.83,0.94,367,0.92:1.84
葦海の標,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),104212.6,2167.4,22707.83,1.631,287,0.77:1.53
雨裁,金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104196.7,3031.72,16199,1.11,432,0.76:1.51
雨裁,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104196.7,3031.72,16199,1.11,432,0.76:1.51
葦海の標,しめ縄+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,しめ縄+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,しめ縄+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,しめ縄+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,しめ縄+楽園,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,しめ縄+楽園,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽団+剣闘士,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽団+剣闘士,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽団+残響,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽団+残響,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽団+辰砂,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽団+辰砂,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ+剣闘士,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ+剣闘士,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ+残響,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ+残響,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ+辰砂,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ+辰砂,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽園+剣闘士,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽園+剣闘士,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽園+残響,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽園+残響,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽園+辰砂,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
葦海の標,楽園+辰砂,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104148.8,3403.7,19853.08,0.75,267,0.92:1.84
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,104092.7,2983,16199,1.216,417,0.74:1.48
葦海の標,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+鍾離,103938.4,1985.4,19853.08,1.216,187,0.95:1.89
葦海の標,しめ縄+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,しめ縄+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,しめ縄+楽園,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,楽団+剣闘士,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,楽団+残響,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,楽団+辰砂,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,金メッキ+剣闘士,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,金メッキ+残響,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,金メッキ+辰砂,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,楽園+剣闘士,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,楽園+残響,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
葦海の標,楽園+辰砂,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103938.1,3403.7,19853.08,1.216,267,0.77:1.53
裁断,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103934,3332.48,16199,0.75,367,0.87:1.73
裁断,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103934,3332.48,16199,0.75,367,0.87:1.73
葦海の標,ファントム4,元チャ+攻撃%+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103873.8,3663.96,19853.08,0.75,187,0.95:1.89
螭龍の剣(完凸),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+鍾離,103872.7,1593.96,16199,1.716,180,0.89:1.79
螭龍の剣(完凸),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+鍾離,103872.7,1593.96,16199,1.716,180,0.89:1.79
葦海の標,辰砂4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103718.1,3840.5,19853.08,0.75,187,0.92:1.84
葦海の標,辰砂4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103718.1,3840.5,19853.08,0.75,187,0.92:1.84
螭龍の剣(完凸),金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+鍾離,103661.4,1707.64,16199,1.25,317,0.89:1.79
螭龍の剣(完凸),金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+鍾離,103661.4,1707.64,16199,1.25,317,0.89:1.79
裁断,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103624.9,3469.12,16199,1.216,130,0.87:1.73
裁断,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103624.9,3469.12,16199,1.216,130,0.87:1.73
裁断,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103516.5,3332.48,16199,1.216,367,0.71:1.42
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),103513.7,1931.48,19053.75,1.406,230,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),103513.7,1931.48,19053.75,1.406,230,0.98:1.95
葦海の標,辰砂4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,103508.3,3840.5,19853.08,1.216,187,0.77:1.53
葦海の標,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),103427.1,2294.8,22707.83,1.406,467,0.77:1.53
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),103413.6,2167.4,22707.83,1.406,517,0.77:1.53
螭龍の剣(完凸),火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+鍾離,103339.1,1480.28,16199,1.475,187,0.89:1.79
